"rep"	"ntaxa"	"delta"	"CIlo"	"CIhi"	"corr"
1	16	78.1	50.1	118	1
2	13	57.8	24.4	105.2	1
3	12	30	0	45.1	1
4	10	16.7	0	78.2	1
5	17	0	0	61.5	1
6	8	45.3	7	92.7	1
7	17	78.2	57.7	102.6	1
8	15	22	2.1	93.8	1
9	11	88.9	57.7	140.6	1
10	13	77.9	45.6	96.3	1
11	9	0	0	26.7	1
12	7	80.1	16	91.4	1
13	6	78.9	32.2	121.5	1
14	16	2.1	0	92.7	1
15	11	0	0	64.3	1
16	7	0	0	27.4	1
17	8	13.4	0	57.3	1
18	18	8.4	9.1	43.5	0
19	9	52.8	34.1	112.8	1
20	9	14	0	75.6	1
21	10	39.3	15.4	96.5	1
22	9	27.5	0	56.8	1
23	8	52.2	0	107.6	1
24	8	0	0	65.1	1
25	10	73.5	4.3	70	0
26	14	55.2	22.7	75.3	1
27	10	75.5	10.4	85.2	1
28	12	24.7	24.8	100.2	0
29	5	64.6	19.1	119.8	1
30	9	66.2	0	79.5	1
31	13	60.7	0	83.1	1
32	14	39.6	8.7	42.9	1
33	9	52.5	4.5	119.6	1
34	9	69.1	18.2	90.2	1
35	14	39.4	0	49.7	1
36	11	27.8	0	33.8	1
37	8	0	0	98.6	1
38	7	89.1	37.3	88.3	0
39	16	81.6	51.9	113.2	1
40	9	28.1	6.5	50.7	1
41	9	29.6	0	76.3	1
42	12	16.9	0	76.2	1
43	15	89.6	49.5	99.5	1
44	7	70.3	0	83	1
45	9	89.5	74.2	159.9	1
46	9	3.5	0	62.5	1
47	8	9.3	0	98.1	1
48	9	18.7	0	60.7	1
49	5	4.9	0	71.2	1
50	11	55.4	0	70.2	1
51	12	36.3	0	51.3	1
52	11	17.3	36	89.8	0
53	6	55.2	3	101.2	1
54	7	15.2	0	85.4	1
55	8	66.9	26.1	102.9	1
56	6	12.9	0	64.4	1
57	15	11.9	0	86.7	1
58	8	19.4	0	78.1	1
59	13	34	0	74.9	1
60	13	18.8	0	42.9	1
61	10	82.1	47.8	121.4	1
62	16	76.9	38.1	96.3	1
63	7	80.9	24.3	103.3	1
64	13	81.9	49.8	82.8	1
65	7	13.5	0	53	1
66	9	54.8	10.5	110.8	1
67	12	79.4	46.7	113.1	1
68	10	36.5	3.3	85.7	1
69	9	21.8	0	51.5	1
70	12	65.6	0	83.9	1
71	5	50.5	47.3	162.1	1
72	10	89	62.6	130.8	1
73	11	0	0	65.9	1
74	11	88.3	69.1	145.1	1
75	14	24.1	0	63.5	1
76	12	7.7	0	73.7	1
77	8	64.9	41.5	93.7	1
78	4	57.6	0	124.1	1
79	10	81.2	35.5	116.4	1
80	13	40.6	15.8	63.4	1
81	10	31.7	0	58.2	1
82	11	8	0	65	1
83	4	47.1	0	108	1
84	8	52.7	47.8	124.6	1
85	8	36.9	47.3	92.4	0
86	13	21.6	0	72.4	1
87	14	30.6	1.3	99.8	1
88	10	50.2	16.9	88.6	1
89	11	67.3	16.9	102.3	1
90	8	84.8	58.6	148.7	1
91	14	39	17.9	54.2	1
92	9	7.2	0	75.1	1
93	16	80.4	53.3	118.7	1
94	10	3.3	22.3	50	0
95	11	60.4	12.3	92.9	1
96	7	9.6	9.4	75.8	1
97	7	8	0	66.9	1
98	15	18.7	10.5	45	1
99	11	27.8	0	71.5	1
100	15	8.4	0	73.6	1
