"rep"	"ntaxa"	"delta"	"CIlo"	"CIhi"	"corr"
1	17	56.5	41.9	61.1	1
2	41	57	28.8	65.5	1
3	30	70.6	12.5	71.4	1
4	16	8.6	28.6	73.4	0
5	45	36.7	29.3	56.7	1
6	14	10.9	6	102	1
7	29	75.6	54.2	97.5	1
8	32	64.3	48.9	82.8	1
9	8	87.9	21.8	103.7	1
10	46	58	41.3	88.4	1
11	20	46.2	0	52.2	1
12	12	71.8	16.6	77.6	1
13	30	3.7	4.9	61.2	0
14	16	66.4	67.1	117	0
15	39	0	9.7	59.1	0
16	50	41.7	40.8	54.6	1
17	18	0	0	47.2	1
18	39	0.1	8.8	67.1	0
19	43	50	28.6	75.5	1
20	34	24.8	22	90	1
21	32	0	19.1	81.1	0
22	14	81.8	25.1	69.4	0
23	32	73	12.4	67.2	0
24	33	69.2	42.5	76.6	1
25	45	75.3	51.6	96	1
26	11	0	19	87.6	0
27	21	54.4	32.1	84.3	1
28	47	20.7	0	46.2	1
29	5	0	0	66.7	1
30	26	0	23.9	50.6	0
31	16	0	8.8	100.9	0
32	30	59.9	15.6	94.4	1
33	12	49.3	7.2	78.8	1
34	29	42.4	20.9	77.9	1
35	18	55.4	0	44.6	0
36	9	84.5	59.5	113.5	1
37	24	72.7	41.9	84.3	1
38	38	0	0	53.5	1
39	6	4.1	0	85.1	1
40	44	24.6	12.3	53.2	1
41	46	0	41.4	56.7	0
42	26	61.4	30.6	86.3	1
43	47	4	6	54.9	0
44	18	78.9	23.8	81.5	1
45	31	84.4	36.4	73.6	0
46	10	45.8	0	30.2	0
47	41	75.3	41.6	98.5	1
48	7	71.6	43.1	139.4	1
49	40	77.7	58.4	98.4	1
50	21	40.7	23.2	64.1	1
51	9	20.3	0	78	1
52	14	77.6	33.8	83.5	1
53	5	84.9	56.9	133.4	1
54	50	0	48.1	63.4	0
55	31	62.8	33.9	80.4	1
56	36	11.3	23.1	91.5	0
57	11	54	5.8	70.4	1
58	14	89.3	48.5	108.5	1
59	34	45.3	36.2	91.2	1
60	6	0	0	92.2	1
61	29	54.1	45.6	101	1
62	11	84	56.4	135.6	1
63	47	36.6	51.9	63.6	0
64	22	48.1	47.4	107.8	1
65	8	32.4	0	79.6	1
66	35	82.3	42.7	105.1	1
67	23	43.9	36.3	98.8	1
68	35	48.9	41.3	95.3	1
69	43	23.2	50.9	88.5	0
70	18	84.9	23.9	71.9	0
71	23	66	39.9	106.5	1
72	21	71.1	26.9	89.1	1
73	4	40.4	0	44.8	1
74	44	0	66.7	78.7	0
75	6	60.9	0	62.9	1
76	41	33.2	14.7	50.6	1
77	15	26.2	0	64.1	1
78	30	36.4	0	79.9	1
79	8	1.3	0	49.1	1
80	9	73	0	73.6	1
81	41	29.9	1.2	47.8	1
82	35	14.1	10	56.6	1
83	25	50.2	28.8	92.7	1
84	38	25.5	42.3	70.8	0
85	31	28.9	0	44.9	1
86	5	5.2	0	74.5	1
87	20	88.5	48.3	95.5	1
88	35	88.8	65.6	107.8	1
89	16	11.9	14.1	96.5	0
90	21	88.8	50.8	98	1
91	42	22	47.2	82.6	0
92	45	48.9	28.5	83.7	1
93	13	82.2	23.4	79.1	0
94	16	83.4	19.9	74.8	0
95	45	82.4	60.7	104.2	1
96	6	53.8	0	42.9	0
97	45	29.2	34.1	69.1	0
98	25	70.5	31.6	86.8	1
99	40	32.7	27.8	50	1
100	23	48.4	12.9	80.4	1
