"rep"	"ntaxa"	"delta"	"CIlo"	"CIhi"	"corr"
1	9	69.9	48.9	139.7	1
2	7	61.1	5.3	100.2	1
3	8	83.5	49.5	120.2	1
4	11	71.3	5.1	68.6	0
5	8	82.7	47.5	90.7	1
6	9	14.3	0	87.9	1
7	8	72.7	28.8	75.5	1
8	11	41.1	0	99.3	1
9	17	52.3	20.9	112.1	1
10	9	64.2	9.9	100.6	1
11	12	59.9	28.2	98	1
12	8	68.9	0	80.5	1
13	11	41	10.7	101.1	1
14	8	87.3	68.1	123.1	1
15	7	37.3	0	53.6	1
16	12	62.1	0	56.1	0
17	12	85.5	48.6	100.5	1
18	13	0	0	64.2	1
19	8	24.3	0	67.8	1
20	10	58.1	7.2	84.2	1
21	10	15.6	0	59.5	1
22	9	56.7	0	74.1	1
23	12	6.2	0	33.8	1
24	12	78.9	53.7	123.1	1
25	16	4.6	49.6	78.6	0
26	10	25.5	0	80.5	1
27	10	27.4	0	99	1
28	8	35.4	0	110.6	1
29	8	46	0	110.6	1
30	11	12.9	0	64.4	1
31	9	55	36.1	100.9	1
32	8	28	0	66.4	1
33	13	58	2.5	53.8	0
34	13	14.1	0	59.8	1
35	5	73.3	3.8	120.4	1
36	11	54	12.2	70.5	1
37	16	8.2	0	45.1	1
38	10	45.4	0	72.8	1
39	9	59.8	15.9	109.6	1
40	7	60.8	13.2	99	1
41	5	22.6	0	45.5	1
42	11	48.6	1.3	92.1	1
43	13	2.9	0	73.9	1
44	9	8	0	87.5	1
45	14	35.5	4.3	82.6	1
46	8	41.7	0	77	1
47	6	66.3	0	70.8	1
48	10	23.8	0	61.5	1
49	12	87.9	60.7	121.5	1
50	8	32.8	0	67.9	1
51	14	33.1	0	55.8	1
52	14	46.6	38.2	78.2	1
53	15	69.5	25.1	104.6	1
54	15	79.6	46.7	97.8	1
55	9	16.1	0	95.3	1
56	15	20.5	0	68.7	1
57	4	18	0	75.8	1
58	9	50.2	0	108.6	1
59	13	38.3	0	73.9	1
60	6	71.6	18.7	109.3	1
61	12	3.4	0	76.8	1
62	9	80.6	32.7	105.4	1
63	8	78.7	50.5	121.6	1
64	16	69.1	35.6	87	1
65	15	64.8	54.4	113.7	1
66	10	0	0	46.6	1
67	15	14.2	0	58.1	1
68	15	46.2	0	64.2	1
69	13	53.4	0	71.6	1
70	9	22.4	0	54	1
71	10	0	0	52.4	1
72	6	8.7	0	42.2	1
73	11	68.3	2.9	68.2	0
74	16	86	55.4	106.5	1
75	8	1.6	0	78.5	1
76	7	17.6	0	54.4	1
77	9	76.2	33	127.1	1
78	7	81.4	50	155.9	1
79	4	9.2	0	137.8	1
80	9	44.7	0	85.5	1
81	17	29	0	57.2	1
82	15	74.9	37.8	108.8	1
83	6	72.7	59.7	159.1	1
84	19	67.5	38.6	104.1	1
85	6	45.3	0	87.1	1
86	9	83.6	50.8	136.2	1
87	6	1	0	52.6	1
88	12	0	0	79.4	1
