"rep"	"ntaxa"	"delta"	"CIlo"	"CIhi"	"corr"
1	14	84.5	41.6	108.5	1
2	11	41.2	0	73.4	1
3	5	0	0	73	1
4	13	84.8	51.5	121.7	1
5	13	24.4	0	64.7	1
6	5	0	0	94.7	1
7	12	35.9	0	53.8	1
8	9	25	0	40.1	1
9	7	0	0	94.4	1
10	15	62.2	26.9	98.1	1
11	18	0	0	45.3	1
12	7	23.4	0	54.3	1
13	8	78.4	35.6	110.3	1
14	7	41.6	0	83.6	1
15	14	76	45.7	117.5	1
16	15	72.5	25.8	103.5	1
17	4	46.2	0	90.4	1
18	11	5.2	13.9	30.3	0
19	5	51.3	0	91.4	1
20	13	88.4	77.8	139.2	1
21	4	31.6	8.2	71.2	1
22	10	66.4	11.5	86.8	1
23	12	0.6	0	62.3	1
24	13	37	16.8	86.2	1
25	7	77.1	21.3	86.5	1
26	12	89.5	48.9	105.7	1
27	16	26.9	12	39.4	1
28	13	31.8	0	67.3	1
29	12	0	0	58.9	1
30	6	34.1	0	49.2	1
31	14	48.9	0	51	1
32	9	55.9	0	82.1	1
33	12	22.7	0	49	1
34	14	3	0	75	1
35	13	8.3	0	58.8	1
36	13	36.1	0	45	1
37	13	39.9	0	102.2	1
38	15	60.2	10.7	67.8	1
39	9	20.4	0	78.6	1
40	6	79.2	28.4	109.1	1
41	7	9.5	0	65.4	1
42	5	65.5	23.9	109	1
43	12	88.3	58.7	131.4	1
44	10	19.9	30.7	82.5	0
45	8	31.9	0	48.3	1
46	5	7.3	0	108.3	1
47	9	62.6	0	84.7	1
48	8	7.4	0	116.5	1
49	7	0	0	111.6	1
50	5	30.5	0	108.4	1
51	12	32.5	0	36.8	1
52	11	70.6	40	112.5	1
53	17	46.4	42.2	67.6	1
54	15	67.1	55.2	102.7	1
55	8	39.6	0	98.4	1
56	13	80.3	52.2	103.6	1
57	7	31.4	8.5	63.8	1
58	13	81.5	52.5	114.3	1
59	10	29	0	68.4	1
60	8	66.7	13.8	113.6	1
61	9	8.2	23.1	53.1	0
62	9	74.8	31.4	100.3	1
63	15	24	4.3	41.2	1
64	11	65.4	0	94.6	1
65	10	49.3	15.3	94.1	1
66	10	28.2	16.8	54.3	1
67	11	55.7	0	70.7	1
68	13	57.4	30.1	80.2	1
69	10	89.5	62.6	142.7	1
70	8	6.1	0	14.2	1
71	17	65.6	59.8	82.4	1
72	9	67.9	22.3	127.4	1
73	13	53.7	2.4	36.3	0
74	18	22.1	0	106.7	1
