"rep"	"ntaxa"	"delta"	"CIlo"	"CIhi"	"corr"
138	9	88.1	65.5	150.1	1
139	10	70	5.4	75.5	1
140	11	13.4	0	71.3	1
141	12	50	0	57.6	1
142	11	73.4	39.3	113.2	1
143	5	13.2	0	76.2	1
144	13	15	0	73.1	1
145	4	31.5	0	63.4	1
146	10	79.2	27.5	109.4	1
147	7	46.3	0	97.4	1
148	15	15.4	0	62.2	1
149	13	0.7	33.8	95.6	0
150	12	28	0	74.3	1
151	8	2.7	0	89	1
152	5	48.9	0	82.6	1
153	11	28.6	17.8	76.5	1
154	11	30.5	39.7	83	0
155	12	7.5	23.6	77.3	0
156	13	78.8	48.7	100.5	1
157	5	0	0	60.7	1
158	14	0	0	97.6	1
159	9	62.8	22.4	108.3	1
160	7	40.1	0	62.4	1
161	8	66.5	45.4	141.9	1
162	9	77.7	69.1	136.6	1
163	11	0	0	54.9	1
164	7	28	0	94.1	1
165	13	0	11.5	101.2	0
166	8	3.7	0	53.2	1
167	11	0	1.9	100.2	0
168	6	0	0	85.4	1
169	12	41	25.9	116.2	1
170	9	84.2	28.2	96.8	1
171	6	87.1	33	92.4	1
172	11	16.2	0	63.6	1
173	9	60.7	26.3	80.7	1
174	14	0	0	42.7	1
175	11	17.4	0	66.8	1
176	9	37.3	0	64.8	1
177	7	26.9	0	60.5	1
178	5	45.7	7.7	79.2	1
179	13	32.3	0.5	73.5	1
180	12	46.2	0	70.5	1
181	6	30.2	0	76.6	1
182	9	43.7	31.7	76.6	1
183	17	63.5	4.7	69.2	1
184	4	61.6	0	43	0
185	8	0	0	88.4	1
186	4	70.8	48.9	140.6	1
187	13	69.2	19.9	67.4	0
188	16	46.7	36.7	108.5	1
189	11	36.2	2.4	62	1
190	8	85.5	73.4	155.5	1
191	13	4	18.6	38.1	0
192	9	41.9	16.9	101.6	1
193	11	0	0	91.2	1
194	15	58.8	0	76.8	1
195	11	52.5	14	91.5	1
196	8	52.8	0	100.3	1
197	10	34.7	0	75.5	1
198	10	6.4	13.6	93.1	0
199	16	76.8	25.2	89.2	1
200	11	29.3	0	85.9	1
201	15	57.4	24.6	101.9	1
202	12	35.2	0	85.6	1
203	8	33.2	0	70.5	1
204	6	29.3	0	79.6	1
205	7	51.6	2.5	109.3	1
206	11	41.2	0	64.5	1
207	12	39.7	0	86.6	1
208	8	30.3	0	88	1
209	14	3.8	16.8	58.2	0
210	9	58.5	4.7	60.7	1
211	5	17.2	16.5	68.6	1
212	7	52	0	73.4	1
213	10	14.2	0	75.5	1
214	6	45.5	0	74.9	1
215	10	82.2	52.8	129.1	1
216	13	88.4	40.9	98.7	1
217	9	30.3	0	81.3	1
218	7	70.3	18.8	115.4	1
219	8	67.6	3.8	113.1	1
220	9	58.2	3.4	104.2	1
221	9	15.3	0	83.8	1
222	11	0	0	42.5	1
223	11	43	0	75.5	1
224	12	0	0	61.7	1
225	7	52	26.3	86.3	1
226	7	83.5	60.6	150.3	1
227	11	55.9	56.7	128.6	0
228	10	41	0.9	91.3	1
229	15	66.1	35.7	83.8	1
230	11	0	27	121.5	0
231	10	12.4	0	53.2	1
232	12	3.6	0	52.4	1
233	4	33	0	76.2	1
234	7	86.2	43.1	85.6	0
235	11	62.8	11.3	74	1
236	9	77.4	45.8	143.3	1
237	9	10.8	0	64.3	1
238	8	38.5	0	55.7	1
239	15	30.5	0	97.9	1
240	4	83.1	45.7	142.1	1
241	15	55.7	32.2	119.3	1
242	12	45.5	19.5	91.5	1
243	13	73.6	50.9	110.8	1
244	8	11	0	81.9	1
245	13	65.1	33.3	103.6	1
246	15	53.7	23.6	100.6	1
247	4	0	0	68	1
248	8	85.3	41.8	91.1	1
249	4	59	0	71.6	1
250	10	80.5	44	128.3	1
251	11	50.2	0	68.2	1
252	10	45.8	0.3	49.9	1
253	12	73.1	30.1	103.4	1
254	5	80.3	71.5	179.2	1
255	7	59.5	30.2	133.3	1
256	15	84.3	32.6	91	1
257	9	3	0	99.3	1
258	7	18.8	0	76.1	1
259	9	0	0	77.6	1
260	10	85.7	39.3	89.1	1
261	8	21.5	0	63.2	1
262	12	84	41.8	107.8	1
263	8	0	0	111.5	1
264	5	73.3	35.8	89.7	1
265	9	13.7	0	66.2	1
266	12	47.4	2.5	89.3	1
267	13	70.2	32.9	105	1
268	12	88.3	53.1	108.8	1
269	9	0	13.8	70.9	0
270	10	6.6	0	82.8	1
271	9	10.5	17.6	87.4	0
272	8	54.9	22.7	111	1
273	15	71.3	28.4	73.5	1
274	10	0	0	32	1
275	9	1.8	0	38.2	1
276	7	44.7	3.3	107	1
277	6	20.1	0	76.1	1
278	12	3.4	0	37.6	1
279	6	11.2	0	70.5	1
280	15	8.6	0	47.9	1
281	8	63.2	23.3	126.5	1
282	9	0	0	65.7	1
283	8	35.7	0	90.8	1
284	8	20.8	0	77.5	1
285	6	21.7	0	65.7	1
286	13	10.8	0	42.4	1
287	12	0	0	94.7	1
288	5	16.4	0	71.7	1
289	9	40.5	0	66.4	1
290	10	80.9	26	107.7	1
291	7	45.4	2.7	93.9	1
292	8	14.6	0	70.8	1
293	8	76.3	44.1	133.7	1
294	11	58.4	20.1	99.2	1
295	13	68.3	35.2	104.7	1
296	10	20.8	0	66.6	1
297	8	24.7	0	84.9	1
298	12	35.1	0	43.1	1
299	9	67.8	27	96	1
300	14	56.2	29.6	106.3	1
301	8	0	0	62.5	1
302	12	46.8	33	115.3	1
303	10	14	0	96.5	1
304	5	38.7	13	122.7	1
305	9	46.5	0	54.8	1
306	8	47.4	0	50	1
307	9	58.4	13.8	80.4	1
308	10	23.9	37.2	98	0
309	6	21.4	0	49.6	1
310	9	85.4	52.1	149	1
311	11	17.6	0	70	1
312	10	14.5	18.6	63.1	0
313	6	0.7	0	86.4	1
314	12	31.4	0	57.9	1
315	9	17.5	0	53.5	1
316	9	76.9	33.1	124.3	1
317	7	26	0	51.4	1
318	7	63.8	16.8	104.6	1
319	13	70.9	15.2	76	1
320	7	24.8	0	106.9	1
321	19	33.2	0	72	1
322	8	18.4	0	103	1
323	4	49.8	0	73.4	1
324	11	48.5	0	65.6	1
325	6	68.4	29.8	127.3	1
326	8	14	0	68.9	1
327	16	66.9	29.6	103.9	1
328	10	55.4	18.8	88.8	1
329	13	48.3	0	67.3	1
330	13	0	0	71.6	1
331	7	27.1	0	65.3	1
332	12	41.4	30.3	95.3	1
333	13	78.6	52.4	91.3	1
334	11	76.6	47.2	128.8	1
335	10	84.6	37.5	106.3	1
336	7	0	0	74.8	1
337	11	29.1	5.5	86	1
338	6	0	0	92.2	1
339	5	16.7	20.3	103.6	0
340	11	69.3	40.7	114	1
341	8	63.9	9.2	73.8	1
342	4	18.6	0	103.2	1
343	8	40.3	3	50.8	1
344	9	33.8	13.4	36.1	1
345	10	56.6	32.9	114	1
346	15	9.3	25.1	95	0
347	12	0	0	59.3	1
348	12	33.8	0	59.5	1
349	11	69.1	38.6	94.9	1
350	16	5.5	1.9	31.6	1
351	14	13.6	0	73.1	1
352	10	54.4	33.7	111.7	1
353	8	22.5	32.5	117.6	0
354	14	0	0	44.8	1
355	14	82.4	51.8	103.1	1
356	6	44.9	3.1	88	1
357	15	5	0	35.8	1
358	10	52.3	30.3	132.3	1
359	11	51.7	40.1	89.9	1
360	10	89.6	38.4	96.6	1
361	9	22.1	0	63.1	1
362	10	88.9	72.7	137.1	1
363	12	73.9	28.4	101.1	1
364	9	66	31.5	75.3	1
365	11	3.4	0	93.7	1
366	8	87.6	55.4	139.4	1
367	9	70.4	30.2	88.3	1
368	9	70.6	31.3	106.3	1
369	5	44.8	0	91.5	1
370	15	18.7	35.8	45	0
371	9	30	0	79.4	1
372	9	72.3	33.7	107.9	1
373	12	87.3	70	145.4	1
374	8	74.3	37.3	99	1
375	6	74.2	32.9	138.4	1
376	10	56	26.8	69.8	1
377	9	72.5	44.1	123.8	1
378	4	25.3	0	65.4	1
379	11	39.8	0	51.8	1
380	4	71.1	7.2	83.8	1
381	7	74.4	48.1	84	1
382	9	0	0	76.4	1
383	9	0	0	81.5	1
384	10	72.7	33.8	117.8	1
385	12	68.6	51.7	133.5	1
386	8	76.5	40.1	123.6	1
387	14	50	27.8	101.7	1
388	11	41.7	0	78.9	1
389	8	0	0	78.9	1
390	12	51.5	6.2	90.3	1
391	11	53	3	86.4	1
392	9	85.4	33.7	108.7	1
393	12	51.3	19.3	89.2	1
394	7	22.8	0	52.5	1
395	12	0	0	58.4	1
396	9	64.4	0	49.7	0
397	7	52.5	0	47.2	0
398	17	26.9	0	56.1	1
399	14	6.9	0	67.7	1
400	7	61	28.6	118.1	1
401	15	50.3	23.7	92	1
402	11	25.1	0	89.1	1
403	16	0	41	53.4	0
404	9	19.8	0	40	1
405	13	88.3	59.2	112	1
406	7	75.1	20.8	102.5	1
407	12	3.2	0	63.4	1
408	4	77.9	34.2	80.8	1
409	7	39.6	0	54.7	1
410	5	78.3	13.7	87.3	1
411	10	77.7	22.6	93	1
412	13	28.2	0	34.2	1
413	5	11.1	0	103.9	1
414	10	54.6	18	113	1
415	15	30	0	34.8	1
416	13	57.6	0.8	82.2	1
417	7	76.4	42.6	129.5	1
418	12	15.1	0	28.4	1
419	7	26.5	0	76.6	1
420	12	68.8	18.9	81.7	1
421	7	0	0	90	1
422	11	38.5	6.3	76	1
423	11	61.7	30.8	112.9	1
424	12	61.8	24.2	128.6	1
425	11	28.9	0	72	1
426	10	16.8	0	68.5	1
427	12	36.6	0	42.1	1
428	4	37	0	110.2	1
429	8	12.5	0	79.6	1
430	15	34.4	11.8	105.6	1
431	7	0	0	65.4	1
432	4	70.2	21.8	52.2	0
433	11	34.1	0	68.8	1
434	10	54.5	61.3	108.2	0
435	11	42.7	0	91.2	1
436	12	78.7	43	148.9	1
437	16	13.5	0	56.3	1
438	15	29.7	8.8	96.5	1
439	9	0	3.7	107.2	0
440	11	44.2	0.3	109.6	1
441	9	19.9	0	63.4	1
442	9	4.9	0	70.6	1
443	15	24.4	0	81.1	1
444	13	0	5	38.4	0
445	8	40	0	69.1	1
446	10	33	0	54.7	1
447	11	76.6	46.7	119.4	1
448	11	7.7	0	55.9	1
449	11	38.8	30.8	123.6	1
450	12	21.5	0	62.1	1
451	7	57.5	0	92.7	1
452	10	76.3	35.6	114.6	1
453	12	36.1	34.4	63.8	1
454	11	0	21.5	79.1	0
455	13	0	0	75.7	1
456	11	5.8	0	78.6	1
457	4	38.2	0.6	156.4	1
458	4	54.5	38.3	121.9	1
459	9	0	0	66.4	1
460	12	44.9	14.7	84.7	1
461	14	34.2	0	59.6	1
462	16	0	26.4	76.2	0
463	8	33.3	0	63.8	1
464	10	70.4	30	127	1
465	5	84.6	53.3	172.1	1
466	6	0	0	53.8	1
467	13	52.7	31.9	104.8	1
468	6	22.9	0	106.2	1
469	9	8.8	0	76.2	1
470	9	89	47.5	118.1	1
471	11	10.4	0	57	1
472	9	59.7	22.4	113.7	1
473	19	78	41.1	105.3	1
474	11	35	0	95.1	1
475	11	76.9	27.2	105.7	1
476	8	0	0	108.5	1
477	5	43.4	52.8	136.5	0
478	9	45.2	0	105.8	1
479	10	53.4	3.3	85.6	1
480	10	14.7	0	36.6	1
481	12	71.1	11.8	82.8	1
482	12	14	0	64.1	1
483	10	8.9	11.1	87.5	0
484	9	15.1	14.3	75.2	1
485	12	61.3	37.3	73	1
486	6	60.3	0	104	1
487	8	23	0	72.6	1
488	13	70.6	22.1	67.2	0
489	11	52.8	0	91.7	1
490	10	47	3	95.7	1
491	9	54.6	0	50.7	0
492	12	88.2	41.4	93.5	1
493	14	67.6	0	75.9	1
494	13	3.2	12.9	40.9	0
495	5	10.9	0	87.5	1
496	9	60.4	0	56.3	0
497	10	6.9	8.9	75.7	0
498	11	73	19.5	82.6	1
499	8	7.5	0	98.5	1
500	10	21.5	0	83.5	1
501	13	55.4	9.5	75.8	1
502	7	0	0	82.3	1
503	11	88.8	30.3	70.1	0
504	11	34.3	0	91.8	1
505	18	2.1	30.1	86.8	0
506	11	88.2	43.2	102.3	1
507	12	81.4	41.9	105.9	1
508	10	48.7	1.7	89.3	1
509	16	74	31.7	92.6	1
510	15	54.8	40	99.6	1
511	10	64.7	24.2	97.4	1
512	9	32.2	0	40.9	1
513	9	9.9	0	69.8	1
514	13	35.9	0	90.1	1
515	7	43.7	0	94.8	1
516	11	23.6	0	69.1	1
517	6	63.4	0	84.2	1
518	14	77.7	49.9	92.3	1
519	12	38.1	0	74.6	1
520	13	18.4	0	60	1
521	13	84.2	56.3	136.5	1
522	9	35.8	3.9	66.2	1
523	7	87.5	31.8	88.9	1
524	19	58.6	0	57.1	0
525	17	0	8.9	85.7	0
526	6	63.8	0	74.8	1
527	14	0	0	49.1	1
528	12	66	50.1	128	1
529	11	7.9	0	87	1
530	6	0	0	66.5	1
531	12	79.5	66.2	122.3	1
532	12	25.4	4.4	68	1
533	12	62.2	44.7	94.4	1
534	7	69.2	25	111.8	1
535	14	69.6	68.2	139.2	1
536	7	54.8	23.8	112.3	1
537	8	17.2	0	106.4	1
538	13	27.3	0	84	1
539	5	53.3	0	61.4	1
540	11	34.9	0	60.9	1
541	6	61.5	50	151.9	1
542	6	69.6	28.8	131.8	1
543	17	21.8	5.9	82.8	1
544	8	6.6	0	61.6	1
545	7	30.1	0	37.9	1
546	6	0	0	80.5	1
547	11	41.5	0	58.3	1
548	10	0	0	89.9	1
549	10	50.1	14.9	84	1
550	15	72.3	14.6	92.7	1
551	11	67.9	11.8	81.4	1
552	13	5.4	0	84.2	1
553	9	20.6	25.5	78.2	0
554	10	29.9	25.9	83.5	1
555	11	74.7	37.7	116.5	1
556	14	49.4	0	88.4	1
557	12	0	0	91	1
558	10	63.2	15.6	85	1
559	6	67.9	28.9	104.8	1
560	10	3.9	41.1	137.3	0
561	15	0	0	41.7	1
562	8	48.8	6.2	102.8	1
563	10	89.9	51.9	113.8	1
564	12	70.4	45.5	126.1	1
565	7	37.9	0	102.5	1
566	9	40	0	79.4	1
567	12	36.4	0	55.7	1
568	13	0	0	75.8	1
569	8	75.3	34.1	107.1	1
570	10	76.4	32	109.7	1
571	9	38.8	0	76.1	1
572	12	89.8	70.8	139	1
573	22	17	41.5	103.1	0
574	12	9.6	0	69.4	1
575	16	3.4	6.9	106.3	0
576	6	83.6	59.2	153.7	1
577	15	86.9	35.7	85.5	0
578	10	19.2	16.2	92.1	1
579	8	34.5	0	71.1	1
580	13	21.9	5.7	44.7	1
581	11	60.7	29	95.1	1
582	15	3.9	0	86	1
583	10	45.7	47.5	135.1	0
584	6	48.5	3	129.7	1
585	4	67.8	9.6	60.4	0
586	13	46.9	0	73.1	1
587	11	21.3	0	72.9	1
588	7	74.4	9.3	98.4	1
589	8	0	0	69	1
590	14	88.3	62.7	136.6	1
591	7	7.8	0	49.9	1
592	4	48.2	2.7	91.5	1
593	10	6.3	0	74.1	1
594	9	65	31.5	126.9	1
595	9	22.7	0	46.8	1
596	12	0	6.6	78.6	0
597	7	2.2	0	75.4	1
598	8	11.7	0	101.8	1
599	10	83.4	49.6	127.7	1
600	9	27.9	0	81.5	1
601	8	16.6	0	89.9	1
602	8	33.5	19.7	107.9	1
603	6	32.7	0.5	122.8	1
604	10	64.6	48.9	125.5	1
605	8	35.1	0	115.6	1
606	9	38	0	113.4	1
607	4	7.3	0	71.5	1
608	10	85.9	33.5	90.4	1
609	12	78.5	45.8	112.4	1
610	11	39.8	0	64.2	1
611	13	0	0	77.3	1
612	9	0	0	59.4	1
613	4	39.9	50.9	130	0
614	6	44.4	0	98.1	1
615	16	53.7	16	55.4	1
616	14	26.8	0	55.1	1
617	12	55.4	17.3	99.7	1
618	9	0	0	56.3	1
619	16	48.4	8.5	85.6	1
620	13	48.4	0	77.8	1
621	9	0	0	100.9	1
622	10	9.3	0	62.6	1
623	10	72.1	54.4	135	1
624	14	58	26.9	50.3	0
625	10	31.5	0	53.8	1
626	12	26.4	0	50.6	1
627	13	43	0	69.8	1
628	11	21.8	0	39.3	1
629	10	0	0	84.8	1
630	11	0	0	79.6	1
631	11	36.5	24.4	116.7	1
632	6	39.7	10.2	85.1	1
633	5	0.7	8.6	134.7	0
634	5	83.2	32.5	125.4	1
635	9	43.7	0	59.1	1
636	11	34.8	0	75.4	1
637	14	0	22.5	94.9	0
638	9	77.9	60.3	128.6	1
639	8	33.8	0	66.6	1
640	14	12.4	0	80.9	1
641	10	47.7	7.2	100.9	1
642	4	7.3	0	74.5	1
643	7	64.3	3.9	88.9	1
644	8	0	0	53.1	1
645	10	41.9	0	73.5	1
646	10	15.1	0	92.4	1
647	14	47.4	10.9	95.4	1
648	9	64.3	1.3	111.2	1
649	15	0	0	50.6	1
650	7	36.3	2.2	101.5	1
651	8	5.8	0	128.1	1
652	9	81.9	37.2	99.2	1
653	13	24.6	0	53.3	1
654	10	65.1	40.4	91.5	1
655	15	67.8	57.7	133.9	1
656	9	12.7	0	58.9	1
657	8	40.4	0	59.3	1
658	11	10.3	0	64	1
659	7	39.2	17.1	90.6	1
660	12	41.7	0	86.3	1
661	6	75	52.3	116.2	1
662	4	84.1	65.9	135.7	1
663	9	49.7	1.9	82.5	1
664	9	81.9	26.1	81.3	0
665	9	5.7	0	37	1
666	8	53.9	13.3	78.2	1
667	13	0	0	89.6	1
668	7	39.3	0	68.7	1
669	9	10.5	0	73.7	1
670	12	16.3	0	71.8	1
671	11	83	61.6	118	1
672	7	0	0	61	1
673	11	24.6	0	49.5	1
674	13	45.7	0	51.8	1
675	7	26.5	0	66.4	1
676	10	0	0	51.9	1
677	12	38	0	71.6	1
678	8	40.3	9.8	83.3	1
679	11	14.1	26.4	86.3	0
680	11	4.9	0	64.3	1
681	12	53.1	3.3	76.9	1
682	5	79.5	46	168.7	1
683	6	9.8	0	78.3	1
684	7	77.7	28.5	88.2	1
685	13	74.2	49.5	124.5	1
686	11	74.8	27.5	106.5	1
687	11	2.1	0	43.2	1
688	16	81.1	43	96.9	1
689	9	48	15.4	92.3	1
690	14	0	0	76.3	1
691	10	17.1	32.4	104.3	0
692	10	34.2	0	45.7	1
693	8	6.2	0	61.9	1
694	11	79.4	38.4	104.1	1
695	10	31.5	0	72.4	1
696	6	56.8	17.3	108.5	1
697	9	80.3	47.4	127.2	1
698	11	70.5	12	83	1
699	9	46.8	0	66.9	1
700	10	68.7	5.9	86.4	1
701	10	11.1	0	51.2	1
702	11	0	0	74	1
703	12	29.8	14.2	94.3	1
704	10	59.5	22.1	99.3	1
705	15	89.9	51.1	98.3	1
706	14	84.1	50.4	112.8	1
707	5	0.4	39.5	94.5	0
708	8	24.4	0	88.4	1
709	11	74.7	55.3	108.3	1
710	16	62.8	31.1	83.2	1
711	13	5.4	0	54.7	1
712	7	78.6	24.9	86.8	1
713	9	68.4	23.5	114.7	1
714	11	0	2.3	33.2	0
715	10	5.5	0	69.8	1
716	10	0	14.1	68.4	0
717	11	8.2	0	81.4	1
718	15	87.2	47.1	95.3	1
719	10	0	0	47.4	1
720	8	62.6	2.1	111.6	1
721	9	4.9	0	66.8	1
722	10	20.2	0	93.3	1
723	14	82.5	17.9	79.2	0
724	12	87.8	57.4	123.1	1
725	7	24.2	0	47.4	1
726	9	18	0	56.1	1
727	10	49.5	0	77	1
728	7	0.9	0	90.1	1
729	12	80.4	25	102.6	1
730	8	74.5	31.8	118.5	1
731	6	8.7	0	70.4	1
732	12	61.7	9.2	62.7	1
733	6	47.6	0	105.7	1
734	8	62.2	2	102.6	1
735	12	10	0	80.9	1
736	7	28	0	62.4	1
737	12	69.7	18.8	96.2	1
738	15	76.2	21.9	98	1
739	10	35.8	36.4	91.9	0
740	16	8.4	23.2	80.4	0
741	16	45.3	57.3	94.2	0
742	10	59.4	16.6	120.8	1
743	10	61.3	1.9	71.9	1
744	5	61.1	2.7	115	1
745	10	48.7	0	82.2	1
746	8	62.3	0	85.7	1
747	8	0	0	40.6	1
748	9	14.6	0	64.7	1
749	13	41.3	3.6	65.4	1
750	11	89.6	51.6	104	1
751	15	5	0	39.9	1
752	9	84.6	40.2	97.8	1
753	10	70.4	29.3	111.1	1
754	9	61.2	0	65	1
755	14	7.7	16.2	36.5	0
756	10	6.3	0	87.9	1
757	8	59.8	28.5	125.8	1
758	12	32.3	0	43.3	1
759	10	16.8	45	91.9	0
760	7	7.7	15.8	66.7	0
761	11	12.1	13.1	86	0
762	13	72.7	39.2	107	1
763	10	69	19.8	104.1	1
764	10	25.8	0	52.1	1
765	7	20.9	0	58.6	1
766	10	71.6	0	66	0
767	12	69.2	44.2	111	1
768	9	22.9	0	68.4	1
769	6	0	5.4	92.8	0
770	4	25.9	0	66.6	1
771	4	65	29.8	124.5	1
772	9	74.6	31.1	114.3	1
773	11	59.2	0	81.2	1
774	11	88.8	53.1	117.5	1
775	10	32.4	0	57.7	1
776	15	69.1	37.2	68.1	0
777	8	85.5	32.3	96.6	1
778	15	49	64.6	117.2	0
779	7	64.2	33.7	89.4	1
780	16	51.3	37	108.4	1
781	12	89	46.4	111.9	1
782	10	0	0	50.9	1
783	11	0	0	84.5	1
784	6	5.9	31.5	79.1	0
785	8	43.4	0	69.8	1
786	13	27.4	13.6	101.4	1
787	11	7.8	0	86.8	1
788	13	58.8	8.8	70.1	1
789	8	31	0	80.9	1
790	8	20.9	0	59.4	1
791	12	16.6	0	54.7	1
792	11	71.7	22.2	98.6	1
793	15	48.7	37.7	110.8	1
794	12	0	28	77.3	0
795	8	8.8	0	85.6	1
796	9	41.2	0	98.1	1
797	10	50.2	0	64	1
798	8	53.8	0.6	78.8	1
799	10	51.6	4.2	65.4	1
800	10	87.4	48.8	112.5	1
801	7	19.1	17.3	98.9	1
802	4	76.9	50.3	127.2	1
803	9	47.4	27.8	61.8	1
804	11	55	38.6	100.2	1
805	6	0.8	0	82	1
806	13	2.3	0	58.1	1
807	12	38.7	0	70.1	1
808	12	73.1	16.4	106.6	1
809	16	43.4	13.5	80.8	1
810	4	42	0	70.7	1
811	5	14.5	0	92.5	1
812	12	70.6	43.1	119.1	1
813	16	35.2	0	58.4	1
814	11	33.3	0	63.5	1
815	6	57.5	0	85.7	1
816	11	42.7	21.1	109.7	1
817	10	20.3	0	76.2	1
818	8	35.7	0	81.4	1
819	10	22	0	69.2	1
820	7	2.3	0	87.5	1
821	11	28.4	25.3	96.3	1
822	12	16.8	45.6	119.4	0
823	10	76.8	43.1	99.8	1
824	16	52.5	21.2	71.4	1
825	4	85.9	60.1	151.9	1
826	15	4.6	30.8	77.4	0
827	9	13.3	0	72.7	1
828	11	88	61.2	120.1	1
829	14	88.5	45.2	106.6	1
830	17	0	0	55.7	1
831	11	34.2	0	56.9	1
832	10	73.2	35.2	92.3	1
833	11	60.4	0	77.4	1
834	7	83.8	27.9	97.8	1
835	11	52.6	0	74.8	1
836	13	8.5	0	72.3	1
837	5	39.9	0	93.7	1
838	8	72.9	33	93.5	1
839	6	24.7	23.5	94.3	1
840	6	75.4	44.9	145.7	1
841	10	68.8	29	99.6	1
842	11	29.1	0	74.8	1
843	13	27.8	2.6	75.2	1
844	9	23.9	13.9	59.3	1
845	10	69.1	14.5	67.5	0
846	11	80.7	36.3	106.1	1
847	9	36.2	44.2	119	0
848	8	31.6	0	86.4	1
849	8	30.4	0	49.4	1
850	11	58.4	0.3	84.6	1
