"rep"	"ntaxa"	"delta"	"CIlo"	"CIhi"	"corr"
1	13	25.5	1.7	49.6	1
2	4	0	0	76	1
3	8	76.6	34.4	135	1
4	9	78.5	38.4	102.1	1
5	8	42.6	0	69.2	1
6	7	36.9	0	65.1	1
7	12	63	4.2	84.2	1
8	18	23.4	0	62.7	1
9	8	18.5	0	87.8	1
10	7	28.4	0	67.2	1
11	5	22.4	0	92.1	1
12	11	57.2	12.2	90.8	1
13	15	44.4	17.7	87.3	1
14	6	0	23.3	114.4	0
15	9	25.7	0	34	1
16	12	61.8	39.7	125.8	1
17	8	71.6	28.7	110.3	1
18	7	50.4	0	51.1	1
19	11	33.4	0	85.9	1
20	6	21.4	0	86.1	1
21	10	46.1	28.3	89.5	1
22	9	35.2	0	66.6	1
23	5	19.3	0	93.4	1
24	6	54.4	2	108.9	1
25	6	15.9	0	61.5	1
26	21	12.7	0	50.3	1
27	10	77.1	28.2	100.4	1
28	22	80.9	46.3	106.9	1
29	14	8	0	59.4	1
30	12	60.2	24.5	87.2	1
31	13	84.6	39.7	118.4	1
32	10	22.3	25	84	0
33	10	6.5	13.3	94.6	0
34	7	80.3	41.9	146.4	1
35	10	79.9	58.5	144.3	1
36	7	79.9	53.6	154	1
37	6	84.9	47.6	122.9	1
38	7	26	0	89.8	1
39	8	5.3	0	74.2	1
40	8	60.1	5.6	94.5	1
41	8	56.4	0	50.4	0
42	8	23.6	0	65.5	1
43	14	30.6	0	82.8	1
44	11	21.6	0	68.9	1
45	13	0.6	7.8	88.6	0
46	11	60.9	18.8	99.6	1
47	5	12.8	0	86.3	1
48	6	57.4	7.5	76.9	1
49	10	8	0	33.4	1
50	6	88.8	58	152	1
51	16	23.1	0	98.6	1
52	14	49.9	26.2	59.1	1
53	8	66.7	16	101.7	1
54	8	5.3	0	49.4	1
55	9	72	31	119.9	1
56	14	38.7	36.3	106.5	1
57	13	28.3	35.3	62.8	0
58	12	0	0	73.9	1
59	8	53.6	36	92.7	1
60	6	56.8	0	69.7	1
61	14	35.2	0	46.1	1
62	9	69.3	33.5	103.5	1
63	7	63.2	18.5	77.9	1
64	6	76.6	18	69	0
65	10	47	0	68.4	1
66	15	3.8	0	88.1	1
67	11	58.6	39	125.4	1
68	10	79.9	38	106.4	1
69	11	64.2	11.2	90.6	1
70	11	85.7	65.7	124.9	1
71	12	0	0	46.3	1
72	9	42.5	0	40.7	0
73	11	50.7	20.3	101.9	1
74	8	49.8	0	71.5	1
75	8	29.6	0	24.9	0
76	12	81.6	36.6	109.1	1
77	13	9.1	0	76.7	1
78	9	0	0	93.3	1
79	11	12.1	0	89.2	1
80	13	10.9	0	74.4	1
81	6	35.5	0	61.9	1
82	7	78.5	48.8	149.5	1
83	17	0	0	72.4	1
84	14	37.9	20.2	114	1
85	9	0	0	88.5	1
86	9	6	0	76.2	1
87	10	20.4	20.5	70.6	0
88	10	28.8	0	56.2	1
89	11	41.9	0	75	1
90	16	0	5.2	85.1	0
91	7	53.8	35.2	136.9	1
92	11	25.3	5.8	88.2	1
93	8	0	0	56.3	1
94	14	62.3	12.3	94	1
95	14	73.9	45.7	107.9	1
96	5	78.9	25.6	123.6	1
97	7	18.5	0	70	1
98	6	7.8	0	85.5	1
99	9	9.4	0	62.5	1
100	8	48	0	75.3	1
101	7	85.6	41.8	114.2	1
102	9	53.3	2.4	82.9	1
103	9	52.3	39.2	105.9	1
104	10	16.5	0	71.5	1
105	4	71.7	0	51.2	0
106	14	4.6	0	56.6	1
107	12	47.9	0	76.2	1
108	14	75	41.3	92.8	1
109	9	59	18	92.8	1
110	6	70.2	11.6	76.9	1
111	7	0	0	72.3	1
112	11	82.5	68.4	158.3	1
113	8	24.6	0	77	1
114	14	16	0	86	1
115	11	80.9	23.2	118.7	1
116	10	73.9	47.7	131.2	1
117	4	62.4	0	97.4	1
118	10	16.3	0	78.8	1
119	12	75.7	24	77.3	1
120	4	4.6	0	82.2	1
121	14	34.2	0	70.8	1
122	10	2.4	0	70.9	1
123	8	64.2	50.6	118.9	1
124	8	20.6	1.6	86.1	1
125	5	5.2	0	91.9	1
126	17	1.6	29.3	99.5	0
127	5	0	0	70.6	1
128	14	45.4	0	73.5	1
129	11	80.5	44	106.8	1
130	6	75.5	36.1	135.3	1
131	10	0	29.2	121.5	0
132	17	86.5	63	125	1
133	11	0	0	84.9	1
134	16	78.6	65.7	114.7	1
135	11	0	5.3	94.9	0
136	8	84.4	37.2	90.1	1
137	9	67.8	21	82.5	1
