"rep"	"ntaxa"	"delta"	"CIlo"	"CIhi"	"corr"
1	8	28.9	21.1	82.1	1
2	14	28.7	0	43.8	1
3	17	6.6	0	44.5	1
4	13	71.3	32.7	108.7	1
5	6	0	0	89.6	1
6	10	18	58.5	113	0
7	10	5.8	0	69.3	1
8	6	36.5	0	69.8	1
9	11	4.9	0	60.4	1
10	11	71.4	39.7	109.5	1
11	7	60.9	10.2	75.9	1
12	6	0	0	115.9	1
13	7	88.3	43.9	121.6	1
14	11	11.7	0	79	1
15	8	11.3	0	72	1
16	10	77.5	45.3	117	1
17	6	25.6	0	73.9	1
18	8	47.8	22.5	92.8	1
19	14	61.1	23.9	114.6	1
20	13	73.8	21.9	96	1
21	8	2.8	0	124.7	1
22	10	9.8	0	83.5	1
23	13	2.2	0	65.8	1
24	15	28.8	0	60.2	1
25	9	33.7	0	70.5	1
26	10	47.4	0	112.7	1
27	10	7.3	0	38.5	1
28	16	0	0	37.4	1
29	12	27.1	0	76	1
30	12	70.6	22	105.4	1
31	12	39	0	66.8	1
32	7	60.6	35.2	134.5	1
33	12	81.5	49.6	137.3	1
34	10	75.2	44.3	128.3	1
35	8	15.3	0	80.8	1
36	7	13.2	0	45.4	1
37	8	32.7	46	112.1	0
38	12	56.1	0	83.8	1
39	9	0	0	29.5	1
40	8	47.3	1.2	111.1	1
41	9	76.1	15.5	109.3	1
42	8	87.6	70.9	152.5	1
43	16	34.5	0	65.5	1
44	14	73.8	6.2	83.6	1
45	9	2.7	0	65.4	1
46	14	33.9	0	70.2	1
47	11	57.6	30.5	104.1	1
48	7	29.4	0	81.8	1
49	11	79.7	36.4	101.7	1
50	5	53.8	0	113	1
51	10	0	0	69.3	1
52	14	20.7	0	58.4	1
53	11	18.4	0	46.7	1
54	7	39.7	27.7	73.6	1
55	8	14.8	0	26.9	1
56	7	43.9	0	58.8	1
57	5	14.9	3.3	39.8	1
58	10	4.6	0	105.7	1
59	8	60.8	17.2	114.1	1
60	9	10.4	0	63.6	1
61	6	0	0	57.6	1
62	13	79.1	40	123.4	1
63	10	55.9	19.2	109.5	1
64	7	0	0	87.2	1
65	9	23.2	0	65.2	1
66	9	87.1	66.3	144.1	1
67	9	8.2	0	44.5	1
68	11	20	0	64.7	1
69	8	3.6	0	43	1
70	10	55.9	0	93.7	1
71	8	88.3	67.5	144.3	1
72	8	81.1	63.6	134.2	1
73	7	16.4	0	72.1	1
74	7	61	15.5	124.8	1
75	9	45.4	0	110.2	1
76	14	69.7	53.3	140.3	1
77	11	25.4	0	25.3	0
78	14	68.3	9.6	86.8	1
79	12	46.1	1.8	91.5	1
80	5	77.9	32.1	136.6	1
81	12	60.3	0	84.9	1
82	9	69.2	20.5	97.1	1
83	11	28.5	0	55.1	1
84	10	29	0	93.5	1
85	13	0	0	72	1
86	9	89.5	52.7	132	1
87	16	51.8	0	50.4	0
88	13	21.2	0	71.5	1
89	9	63.8	45.5	116.6	1
90	16	0	21.2	45.6	0
91	7	14.7	0	49.6	1
92	10	28.5	0	43.3	1
93	13	45.8	0	57.4	1
94	5	12.3	0	75.4	1
95	10	17.9	0	32.5	1
96	13	2.5	0	35.6	1
97	12	42.1	20.1	98.2	1
98	11	56.2	0	57.2	1
99	5	36.8	0	74.6	1
100	12	0	0	81.1	1
101	5	45.1	0	103.8	1
102	6	22.7	0	84.8	1
103	9	53.3	0	84.9	1
104	4	2.3	0	71.2	1
105	5	0	0	52.7	1
106	11	18.6	8.4	84.9	1
107	10	28.5	7.3	64.7	1
108	6	17.8	0	64.5	1
109	10	24	0	30	1
110	6	61.8	0	64.9	1
111	10	47	0	56.4	1
112	10	22.9	0	71.8	1
113	8	63.5	30	119.6	1
114	7	41.8	15.1	94	1
115	12	43.4	0	85	1
116	10	40.1	0.8	76	1
117	9	26.1	0	59.8	1
118	17	16.4	0	83.4	1
119	9	30.3	0	63.2	1
120	8	45.8	0	64.7	1
121	11	54	0	86.1	1
122	13	0	0	72.2	1
123	10	0	0	85	1
124	14	17.6	0	55.1	1
125	13	72.2	43.1	114.1	1
126	14	67.5	21.6	81.4	1
127	14	0	0	32.7	1
128	7	38.4	0	70.9	1
129	8	86.7	42.8	112	1
130	9	1.2	0	61.2	1
131	14	5.8	0	101.4	1
132	7	88.4	63.7	150.8	1
133	7	38.5	0	78.5	1
134	14	81.1	32.9	104.2	1
135	10	72.1	40.8	110.8	1
136	7	50	0	122.1	1
137	11	14.5	0	84	1
138	10	43.8	0	88.2	1
139	6	16	0	63.9	1
140	5	56.5	7.7	112.7	1
141	12	8	0	28.7	1
142	11	43.1	35.2	122.5	1
143	7	81.6	30.5	119.5	1
144	11	48.5	26.9	95.5	1
145	14	66.4	22.5	85.8	1
146	9	4.9	0	84.1	1
147	10	59.9	4.9	107.3	1
148	13	17.3	0	61.1	1
149	10	18.9	0	70.5	1
150	17	47.5	22.4	101	1
151	6	0	0	66.6	1
152	5	19	0	81.9	1
153	14	2.5	0	49.6	1
154	7	27.8	0	60.1	1
155	7	13.5	0	61.9	1
156	15	29.3	0	36.4	1
157	9	75.1	29.1	133	1
158	6	36.1	0	90.9	1
159	9	48.6	7.8	79.5	1
160	9	80.9	49.4	133.4	1
161	6	58.4	0	106.7	1
162	8	11.8	0	70.1	1
163	9	9.4	0	58.1	1
164	11	45.1	9.3	62.1	1
165	7	42	0	63.2	1
166	5	8.6	0	99	1
167	5	6.6	0	77.3	1
168	12	49.3	0	83.1	1
169	8	19.2	0	68	1
170	14	74.8	60.4	105.2	1
171	9	40.8	0	65.5	1
172	8	77.9	33.9	123.7	1
173	12	69.1	21.3	99.4	1
174	4	25.1	0	60.1	1
175	10	26.1	0	87.4	1
176	11	87.1	42.6	102.2	1
177	6	84.1	42.2	144.1	1
178	12	26.3	0	70	1
179	14	65	24.6	85.7	1
180	10	74.2	38.9	91.3	1
181	12	39.5	0	75.8	1
182	12	8.8	0	61.7	1
183	4	0	0	59.9	1
184	9	15.7	0	67	1
185	12	79.5	34	112.2	1
186	16	31.2	0	51	1
187	10	0	0	68.2	1
188	8	0	0	103.2	1
189	13	0	0	41.2	1
190	14	38.4	0	43.4	1
191	8	5.4	0	72.5	1
192	8	45.1	7.1	116.4	1
193	18	57.5	16.1	89.6	1
194	8	0	0	101.7	1
195	5	35.4	0	97.6	1
196	7	20.5	0	91.5	1
197	5	22.1	0	80.9	1
198	17	11.2	4.3	63	1
199	11	43.4	0	49.8	1
200	14	74.4	38.3	94.5	1
201	9	56.5	0	96.2	1
202	10	70.5	46	106.7	1
203	5	0	0	87.8	1
204	9	20.7	12	94.4	1
205	12	50.8	2.3	72.7	1
206	9	42.9	4.7	73.3	1
207	13	76.2	38	100.3	1
208	10	4.6	0	50.6	1
209	15	8.4	0	48.8	1
210	13	45.5	22.2	100.8	1
211	5	0	0	62.5	1
212	12	77.8	9.8	84.4	1
213	8	62.9	52.6	113.9	1
214	7	69.8	0	92.4	1
215	14	55.6	20.5	95.6	1
216	11	34.4	0	80.1	1
217	12	8.5	0.2	69.5	1
218	11	5.4	0	54.2	1
219	14	6.7	0	53.4	1
220	11	51.6	0	73.2	1
221	8	45.5	3.1	68.1	1
222	7	35.3	0	75.1	1
223	6	35.9	38.2	109.4	0
224	13	41.5	0	69.2	1
225	10	57.3	1.1	99.7	1
226	14	78.4	74.8	132.1	1
227	8	26.8	0	105.5	1
228	11	27.3	0	72.8	1
229	8	14.9	3.3	108.1	1
230	9	39.1	0	70.2	1
231	5	83.6	35.3	117.3	1
