"rep"	"ntaxa"	"delta"	"CIlo"	"CIhi"	"corr"
1	13	0	6.1	73	0
2	6	56.6	1.3	86.4	1
3	9	66.3	3.3	105.3	1
4	7	82.8	29.5	114	1
5	12	66.8	0	65.5	0
6	10	0	0	57.4	1
7	6	4.3	0	100.8	1
8	14	70.7	72	130.3	0
9	8	89.7	40.4	91.2	1
10	13	0	0	32.2	1
11	6	36.9	7.3	126.7	1
12	11	77.1	26.2	92.1	1
13	11	40.9	0	63.3	1
14	11	73.6	19.7	81.6	1
15	14	51.9	22.2	89.6	1
16	9	64.3	5.7	61.4	0
17	11	50.9	18.8	103.4	1
18	10	0	0	57.9	1
19	10	49.6	6.3	78.9	1
20	8	89.5	53.1	133.4	1
21	11	51	23.4	85.9	1
22	5	64.1	0	78.9	1
23	12	27.6	0	42.8	1
24	12	3.3	21.2	68.8	0
25	12	70.6	1.6	88.5	1
26	11	59.3	18.9	96.9	1
27	5	58.3	3.7	85.4	1
28	4	58.6	30.6	120	1
29	10	0	0	52.2	1
30	8	49.3	0	74.8	1
31	11	56.3	22.8	77.3	1
32	7	72.7	36.2	115.8	1
33	13	0	0	87.3	1
34	8	76.9	36.4	127.1	1
35	7	0	0	113.7	1
36	9	22.5	6.9	97.7	1
37	16	59.4	36.9	109	1
38	10	19.5	0	67.1	1
39	6	43.4	24.1	54.8	1
40	5	5.7	0	65	1
41	7	15.4	0	86.7	1
42	17	8.6	30.6	81.4	0
43	7	58.3	0	72.2	1
44	9	72.4	13.6	74	1
45	13	74.4	46.5	91.1	1
46	7	19.4	7.4	115.6	1
47	6	15.7	0	59.4	1
48	7	31	0	52.3	1
49	7	15.9	0	49.7	1
50	9	19.9	3.8	92.8	1
51	10	0	0	90.8	1
52	10	0	12.4	90.2	0
53	11	56	19	100.3	1
54	12	21.4	0	46.5	1
55	7	41	17.2	131.9	1
56	12	70.6	21.8	98	1
57	9	10.9	0	92.7	1
58	9	55.9	0	68.4	1
59	12	0	13.8	103.8	0
60	6	64.9	0.2	63.9	0
61	14	76.2	26.3	83.2	1
62	6	69.2	28.7	95.9	1
63	9	63.8	25.3	95	1
64	12	56.1	65.9	134.3	0
65	5	52.9	0	108.2	1
66	13	21.8	0	86.4	1
67	11	0	0	37.8	1
68	10	38	0	62.6	1
69	14	78.9	70.8	122	1
70	11	51.8	0	74.3	1
71	12	47.9	0	74.5	1
72	7	0	17.8	80.6	0
73	15	0	0	76.9	1
74	9	38	0	44.5	1
75	6	55.9	0	101.8	1
76	10	44.7	20.2	86.4	1
77	15	48.4	0	55.1	1
78	16	9.8	0	60.8	1
79	8	71.5	22.3	108.8	1
80	9	79.3	25.1	82.2	1
81	8	59.8	0	47	0
82	6	0	0	72.7	1
83	13	64.7	35.3	127	1
84	7	9.3	0	87.7	1
85	13	20.8	0	55.2	1
86	7	41.5	0	51.4	1
87	9	36.5	0	85.2	1
88	5	38.1	0	98.8	1
89	9	7.5	0	64.8	1
90	5	3.8	0	126.5	1
91	6	77.1	32.4	114.3	1
92	9	53.9	23.6	97	1
93	8	19.1	0	58	1
94	8	39.4	7.8	87.6	1
95	11	44.7	0	82.4	1
96	10	0	0	84.9	1
97	10	19.1	18.4	74.2	1
98	6	39.9	0	80.3	1
99	8	36.9	0	88.8	1
100	7	0	0	80.2	1
101	16	80.9	22.8	79.4	0
102	8	48.2	0	106.5	1
103	10	70.1	26.5	111.4	1
104	9	60.1	0	76.2	1
