"rep"	"ntaxa"	"delta"	"CIlo"	"CIhi"	"corr"
1	7	44.2	0	91.2	1
2	13	80.8	53.6	121.4	1
3	10	28.9	0	49.8	1
4	8	38.6	0	37.5	0
5	4	79.2	16	92.6	1
6	8	87.8	55.6	128.7	1
7	8	88.4	58.6	142.5	1
8	14	33.5	37.9	88	0
9	7	6.9	0	28.1	1
10	13	34.8	0	67.4	1
11	11	85.8	50	120	1
12	10	48.5	13.4	97	1
13	10	26.9	0	85.6	1
14	8	0	0	100.5	1
15	9	13.9	0	93.3	1
16	11	24.2	0	76.2	1
17	7	51.8	0.9	77	1
18	9	22.3	0	50.1	1
19	5	40	0	123	1
20	14	56.7	15.6	100.5	1
21	11	23.5	0	66.7	1
22	14	64.5	28.8	103.6	1
23	10	86.2	77.9	138.7	1
24	11	57.1	0	93	1
25	16	63.8	47.1	106.2	1
26	10	52.1	8.9	73.8	1
27	6	66.9	18.8	99.3	1
28	8	78.3	51.2	131.1	1
29	7	72.6	11.4	112.6	1
30	8	34.1	0	73.1	1
31	12	28.2	0	77.1	1
32	8	0	0	79.5	1
33	12	15.3	0	43	1
34	11	23.4	0	88.1	1
35	15	31	0	76.5	1
36	7	10	2.2	42.1	1
37	7	68.3	11.6	119.5	1
38	7	72.3	3.4	77.6	1
39	9	31.7	0	56	1
40	12	5.9	4.5	89.6	1
41	10	10.5	0	74.5	1
42	8	50.7	6.1	83.8	1
43	9	33.2	0	40.9	1
44	10	42.5	19.2	103.7	1
45	9	66.5	18.3	106.7	1
46	12	71.5	38.7	95.3	1
47	7	0	0	48.2	1
48	11	72.3	52.4	111.4	1
49	12	87.1	45.4	102.9	1
50	11	83.2	51.9	124.6	1
51	14	31.3	0	62.2	1
52	7	0	0	99	1
53	8	5.9	0	73.9	1
54	7	0	0	68.4	1
55	6	23.5	0	88.3	1
56	13	36	0	59.1	1
57	9	86.9	56.2	116	1
58	11	12.3	0	83.5	1
59	12	72.6	51	98.7	1
60	6	70.8	41	96.1	1
61	7	81	53.6	117.7	1
62	13	0	6.3	33.1	0
63	14	57.1	37.8	72.4	1
64	5	7.4	0	54.8	1
65	6	0	21.2	125	0
66	9	18.7	0	68.1	1
67	13	30.5	0	65.5	1
68	8	43.4	5.5	91.9	1
69	9	45.3	0	84.3	1
70	11	51.6	23	115.6	1
71	13	53.7	24.3	100.8	1
72	9	59.2	20.1	72.1	1
73	10	56.2	25.1	78.9	1
74	12	40.9	0	66.3	1
75	11	81.6	62.2	127.6	1
76	13	45.2	30.3	92.6	1
77	17	22.3	6	93.5	1
78	9	68.7	42.7	127.8	1
79	4	81.6	38.2	113.4	1
80	13	38.3	0	76.4	1
81	17	21.4	0	61.9	1
82	10	8.1	0.7	46.7	1
83	12	72.2	29.5	98.4	1
84	9	4.3	0	75.1	1
85	16	30.7	35.1	99.4	0
86	14	63.4	21.8	73.4	1
87	7	68.9	34.4	112.5	1
88	7	21.4	0	98.5	1
89	8	69.4	19.1	108.3	1
90	8	66.9	27.6	110.7	1
91	6	80.7	35.2	122.9	1
92	14	35.4	46.1	68.6	0
93	11	50.4	18.5	105.5	1
94	7	47.3	13.5	90.3	1
95	13	17.8	0	69.2	1
96	7	40.7	0	94.4	1
97	10	23.3	30.9	54.4	0
98	8	57.1	8.4	79	1
99	16	76.5	26.8	85.4	1
100	8	65.2	21.4	100	1
