"rep"	"ntaxa"	"delta"	"CIlo"	"CIhi"	"corr"
1	17	56.5	41.7	62	1
2	41	57	22.6	65.3	1
3	30	70.6	6.3	72.8	1
4	53	0	43.4	61.2	0
5	18	50.8	0.4	84.1	1
6	47	11.3	18.1	49.3	0
7	57	2.1	0.8	54.2	1
8	4	2.7	0	56.2	1
9	59	0	0	51.3	1
10	17	60	10.4	60.9	1
11	50	62.3	47	86.3	1
12	16	26	0	67.9	1
13	7	34.8	0	54.2	1
14	26	77.6	39.1	82.3	1
15	57	85.6	64	97.9	1
16	40	68	34.5	78.5	1
17	18	21.5	0	39.6	1
18	37	0	46.7	54.7	0
19	30	68.9	53.9	94.7	1
20	6	15.3	0	91.7	1
21	28	27.1	29.7	86.9	0
22	49	8.4	23.9	77.5	0
23	19	56.9	32.4	111.3	1
24	4	87	52	152.9	1
25	50	81.1	49.5	89.6	1
26	53	31.6	31.1	74.6	1
27	60	0	25.6	55.9	0
28	54	55.7	20.9	70.3	1
29	40	68.9	27.7	83.8	1
30	28	0.3	0	43.6	1
31	58	31.6	20.2	50.5	1
32	55	29.8	56.7	66.8	0
33	19	62.4	36	91.2	1
34	10	23.6	0	65.7	1
35	52	53.3	41.8	73.7	1
36	6	38.9	13.1	70.4	1
37	37	32.7	24.5	68.8	1
38	19	62	51.6	91.3	1
39	40	0	24.6	80.2	0
40	39	19.3	0	48.7	1
41	4	18.8	0	57.2	1
42	9	75.1	38.8	101.4	1
43	48	79.4	46.4	83.8	1
44	8	0	0	78.1	1
45	27	80.3	38.5	99.9	1
46	55	22.9	10.5	55.3	1
47	41	51.9	33.6	91.3	1
48	51	57	53.6	96.9	1
49	9	57.7	8.6	66.6	1
50	40	42.6	37	60.4	1
51	44	83.3	68.7	99.8	1
52	24	7.6	35.2	67.7	0
53	6	68.5	34	90.1	1
54	56	0	0	49.2	1
55	33	75.3	57.1	91.5	1
56	29	23.3	55.9	94.9	0
57	49	20.8	30.8	78.3	0
58	54	80.3	50.6	77.4	0
59	57	5.3	37.2	78.9	0
60	24	82.4	49.3	103.2	1
61	52	63.8	27.6	68.8	1
62	39	26.6	25.8	55.8	1
63	9	40.7	0	52.9	1
64	56	1.5	23.1	59.5	0
65	55	12.4	15.5	53.3	0
66	19	80.1	57.7	109.6	1
67	27	89	45.5	83.8	0
68	41	0	10.1	66.1	0
69	9	64.4	9.7	80.6	1
70	32	43.3	50.4	76.9	0
71	55	69.3	56.6	105.1	1
72	39	63.2	51.6	77.7	1
73	12	27.6	0	62	1
74	57	87.6	60.5	100	1
75	13	29.4	35.8	98	0
76	31	0	13.9	57.2	0
77	42	37	29.6	73.3	1
78	36	72.3	42.8	85	1
79	46	62.4	31.6	91.3	1
80	55	88	59.5	98.3	1
81	22	17.9	0	70.3	1
82	5	35.5	0	86	1
83	51	0	21.8	49.5	0
84	6	19.8	0	54.6	1
85	26	34.5	21.9	81	1
86	14	74.6	28	102.7	1
87	24	75.4	26.9	88	1
88	27	23.4	0	39.6	1
89	29	0	0	45.7	1
90	27	44.3	32.6	65.2	1
91	12	0	0	34.2	1
92	5	4.5	0	64.3	1
93	15	22.2	4.3	73.6	1
94	10	13.4	0	60.8	1
95	38	81.1	46.3	92.1	1
96	50	74.6	51.1	93.9	1
97	59	78.2	50.2	88.2	1
98	32	10.7	0.1	61.6	1
99	5	1	0	98.2	1
100	15	70.2	7.4	83	1
